Job Title,Key Skills,Functional Area
 Graphic Designer, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,"Design , Creative , User Experience"
 Business Development Executive, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,"Sales , Retail , Business Development"
 Animation Resident, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,"Marketing , Advertising , MR , PR , Media Planning"
Enterprise Business Development Representative,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,"Sales , Retail , Business Development"
 Dot Net Developer, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,"IT Software - Application Programming , Maintenance"
" Urgent Opening for ""US Staffing Professionals"" - Noida", technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,"HR , Recruitment , Administration , IR"
 Front Office Executive-Noida, Front Office Executive,"Executive Assistant , Front Office , Data Entry"
 Project Executive/coordinator, Project Administration| Coordination,"Sales , Retail , Business Development"
 Sterling OMS Architect, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,"IT Software - eCommerce , Internet Technologies"
 Dot net Developer, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,"IT Software - Application Programming , Maintenance"
 Centreless Grinding Operator , NCTVT,"Production , Manufacturing , Maintenance"
 PHP Developer Jobs In Gurgaon - Team Lead - PHP, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,"IT Software - Application Programming , Maintenance"
 Sales Lead, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,"Sales , Retail , Business Development"
 Senior Design Engineer - Manufacturing, AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,"Production , Manufacturing , Maintenance"
 Software Engineer Automation - Industrial Automation Job In Bangalore, Automation Engineer,"Engineering Design , R&D"
 Looking For Assistant Manager - Healthcare (US Visa is Must), Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 QA for Voice Process (LE-0097-N1C), Voice process| qaqc| Writing| Process operations| Verbal,"ITES , BPO , KPO , LPO , Customer Service , Operations"
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon", Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation,Other
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & Business Intelligence
 Executive Medical Coder, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Account Assistant, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,"Accounts , Finance , Tax , Company Secretary , Audit"
 Informatica Faculty Job Requirement in Hyderabad, Informatica Power Center| Informatica,"IT Software - DBA , Datawarehousing"
 SEO Expert/ Digital Marketing Gurgaon, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,"Marketing , Advertising , MR , PR , Media Planning"
 Head Engineering, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,"Production , Manufacturing , Maintenance"
 Business Development Executive, Forecasting,"Accounts , Finance , Tax , Company Secretary , Audit"
 PPC Executive, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,"Marketing , Advertising , MR , PR , Media Planning"
 Opening For the post of Mr/territory Business Manager in An Pharma, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,"Sales , Retail , Business Development"
 Deputy Manager - Program Management, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,"Production , Manufacturing , Maintenance"
 Public Relations Manager - Bangalore, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,"Marketing , Advertising , MR , PR , Media Planning"
 Female Fresher's Counsellor- Gurgaon, counselling| couselling| fresher| student counsellor| student counseling,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 BE Chemical - Fresher, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,"Production , Manufacturing , Maintenance"
 Senior .Net Developer For Leading IT Company in Gurgaon, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,"IT Software - Application Programming , Maintenance"
 Hiring a Valuation Associate (female Only), Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Analytics & Business Intelligence
 Merchandising & Marketing- Professor, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling"
 Medical Transcriber, X - Ray| Medical Transcription| Ultrasound| CT Scan,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 PHP Developer, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,"IT Software - Application Programming , Maintenance"
 Business Development Manager, Sales| Management| Sales management| Educational sales,"Sales , Retail , Business Development"
 Looking for a Job Change With a good package, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Huge Requirement for Customer Care Executive with Fixed Salary, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,"ITES , BPO , KPO , LPO , Customer Service , Operations"
Assistant Manager – BI&I (data Automation),C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,"IT Software - Application Programming , Maintenance"
 Field Sales Executive, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,"Sales , Retail , Business Development"
 Sr. Manager Sales Capability Building, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,"Sales , Retail , Business Development"
 Service Ops Expert - Servc Del | Microland, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females), planning| training| training manager| trainer| faculty,"Teaching , Education , Training , Counselling"
 Sales Manager, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,"Sales , Retail , Business Development"
 Field Support Team-Supervisor, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,"IT Software - Application Programming , Maintenance"
 Sr. C# Developer, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,"IT Software - Application Programming , Maintenance"
